name_common,name_sp,class,name_parameter,value,unit
jagung,Zea mays,S1,clim_humidity,>42,%
jagung,Zea mays,S2,clim_humidity,36-42,%
jagung,Zea mays,S3,clim_humidity,30-36,%
jagung,Zea mays,N,clim_humidity,30<,%
jagung,Zea mays,S1,clim_precipitation_tot,900-1200,mm
jagung,Zea mays,S2,clim_precipitation_tot,1200-1600,mm
jagung,Zea mays,S2,clim_precipitation_tot,500-900,mm
jagung,Zea mays,S3,clim_precipitation_tot,>1600,mm
jagung,Zea mays,S3,clim_precipitation_tot,300-500,mm
jagung,Zea mays,N,clim_precipitation_tot,300<,mm
jagung,Zea mays,S1,clim_temperature_avg,20-26,°C
jagung,Zea mays,S2,clim_temperature_avg,26-30,°C
jagung,Zea mays,S3,clim_temperature_avg,16-20,°C
jagung,Zea mays,S3,clim_temperature_avg,30-32,°C
jagung,Zea mays,N,clim_temperature_avg,16<,°C
jagung,Zea mays,N,clim_temperature_avg,>32,°C
jagung,Zea mays,S1,soil_base_saturation,>50,%
jagung,Zea mays,S2,soil_base_saturation,35-50,%
jagung,Zea mays,S3,soil_base_saturation,35<,%
jagung,Zea mays,S1,soil_cec,>16,cmol
jagung,Zea mays,S2,soil_cec,5-16,cmol
jagung,Zea mays,S3,soil_cec,5<,cmol
jagung,Zea mays,S1,soil_coarse_fragments,15<,%
jagung,Zea mays,S2,soil_coarse_fragments,15-35,%
jagung,Zea mays,S3,soil_coarse_fragments,35-55,%
jagung,Zea mays,N,soil_coarse_fragments,>55,%
jagung,Zea mays,S1,soil_depth,>60,cm
jagung,Zea mays,S2,soil_depth,40-60,cm
jagung,Zea mays,S3,soil_depth,25-40,cm
jagung,Zea mays,N,soil_depth,25<,cm
jagung,Zea mays,S1,soil_drainage,baik;sedang,unitless
jagung,Zea mays,S2,soil_drainage,agakcepat;agakterhambat,unitless
jagung,Zea mays,S3,soil_drainage,terhambat,unitless
jagung,Zea mays,N,soil_drainage,sangatterhambat;cepat,unitless
jagung,Zea mays,S2,soil_erosion_risk,0.15<,unitless
jagung,Zea mays,S3,soil_erosion_risk,0.15-0.9,unitless
jagung,Zea mays,S3,soil_erosion_risk,0.9-1.8,unitless
jagung,Zea mays,N,soil_erosion_risk,1.8-4.8,unitless
jagung,Zea mays,N,soil_erosion_risk,>4.8,unitless
jagung,Zea mays,S1,soil_esp,15<,%
jagung,Zea mays,S2,soil_esp,15-20,%
jagung,Zea mays,S3,soil_esp,20-25,%
jagung,Zea mays,N,soil_esp,>25,%
jagung,Zea mays,S3,soil_flood_height,25,cm
jagung,Zea mays,N,soil_flood_height,>25,cm
jagung,Zea mays,S3,soil_flood_length,7<,hari
jagung,Zea mays,N,soil_flood_length,>7,hari
jagung,Zea mays,S1,soil_k2o,>40,mg/100 g
jagung,Zea mays,S2,soil_k2o,21-40,mg/100 g
jagung,Zea mays,S3,soil_k2o,20-Oct,mg/100 g
jagung,Zea mays,S3,soil_k2o,10<,mg/100 g
jagung,Zea mays,S1,soil_nitrogen,>0.2,%
jagung,Zea mays,S2,soil_nitrogen,0.10-0.20,%
jagung,Zea mays,S3,soil_nitrogen,0.10<,%
jagung,Zea mays,S1,soil_organic_c,>1.2,%
jagung,Zea mays,S2,soil_organic_c,0.8-1.2,%
jagung,Zea mays,S3,soil_organic_c,0.8<,%
jagung,Zea mays,S1,soil_outcrop,5<,%
jagung,Zea mays,S2,soil_outcrop,5-15,%
jagung,Zea mays,S3,soil_outcrop,15-25,%
jagung,Zea mays,N,soil_outcrop,>25,%
jagung,Zea mays,S1,soil_p2o5,>40,mg/100 g
jagung,Zea mays,S2,soil_p2o5,21-40,mg/100 g
jagung,Zea mays,S3,soil_p2o5,15-20,mg/100 g
jagung,Zea mays,S3,soil_p2o5,15<,mg/100 g
jagung,Zea mays,S1,soil_peat_depth,50<,cm
jagung,Zea mays,S2,soil_peat_depth,50-100,cm
jagung,Zea mays,S3,soil_peat_depth,100-150,cm
jagung,Zea mays,N,soil_peat_depth,>150,cm
jagung,Zea mays,S1,soil_peat_maturity,saprik,unitless
jagung,Zea mays,S2,soil_peat_maturity,saprik;hemik,unitless
jagung,Zea mays,S3,soil_peat_maturity,hemik,unitless
jagung,Zea mays,N,soil_peat_maturity,fibrik,unitless
jagung,Zea mays,S1,soil_ph,5.8-7.8,unitless
jagung,Zea mays,S2,soil_ph,5.5-5.8,unitless
jagung,Zea mays,S2,soil_ph,7.8-8.2,unitless
jagung,Zea mays,S3,soil_ph,5.5<,unitless
jagung,Zea mays,S3,soil_ph,>8.2,unitless
jagung,Zea mays,S1,soil_salinity,4<,dS/m
jagung,Zea mays,S2,soil_salinity,4-6,dS/m
jagung,Zea mays,S3,soil_salinity,4-8,dS/m
jagung,Zea mays,N,soil_salinity,>8,dS/m
jagung,Zea mays,S1,soil_slope,3<,%
jagung,Zea mays,S2,soil_slope,3-8,%
jagung,Zea mays,S3,soil_slope,8-15,%
jagung,Zea mays,N,soil_slope,>15,%
jagung,Zea mays,S1,soil_sulfidic_depth,>100,cm
jagung,Zea mays,S2,soil_sulfidic_depth,75-100,cm
jagung,Zea mays,S3,soil_sulfidic_depth,40-75,cm
jagung,Zea mays,N,soil_sulfidic_depth,40<,cm
jagung,Zea mays,S1,soil_surface_rocks,5<,%
jagung,Zea mays,S2,soil_surface_rocks,5-15,%
jagung,Zea mays,S3,soil_surface_rocks,15-40,%
jagung,Zea mays,N,soil_surface_rocks,>40,%
jagung,Zea mays,S1,soil_texture,h_ah_s,unitless
jagung,Zea mays,S3,soil_texture,ak,unitless
jagung,Zea mays,N,soil_texture,k,unitless
