name_common,name_sp,class,name_parameter,value,unit
jeruk,Citrus aurantium,S1,clim_dry_months,2.5-4,bulan
jeruk,Citrus aurantium,S2,clim_dry_months,4-5,bulan
jeruk,Citrus aurantium,S3,clim_dry_months,5-6,bulan
jeruk,Citrus aurantium,N,clim_dry_months,>6,bulan
jeruk,Citrus aurantium,S1,clim_humidity,50-90,%
jeruk,Citrus aurantium,S2,clim_humidity,50<,%
jeruk,Citrus aurantium,S2,clim_humidity,>90,%
jeruk,Citrus aurantium,S1,clim_precipitation_tot,1200-3000,mm
jeruk,Citrus aurantium,S2,clim_precipitation_tot,1000-1200,mm
jeruk,Citrus aurantium,S2,clim_precipitation_tot,3000-3500,mm
jeruk,Citrus aurantium,S3,clim_precipitation_tot,800-1000,mm
jeruk,Citrus aurantium,S3,clim_precipitation_tot,3000-4000,mm
jeruk,Citrus aurantium,N,clim_precipitation_tot,800<,mm
jeruk,Citrus aurantium,N,clim_precipitation_tot,>4000,mm
jeruk,Citrus aurantium,S1,clim_temperature_avg,19-33,°C
jeruk,Citrus aurantium,S2,clim_temperature_avg,33-36,°C
jeruk,Citrus aurantium,S2,clim_temperature_avg,16-19,°C
jeruk,Citrus aurantium,S3,clim_temperature_avg,36-39,°C
jeruk,Citrus aurantium,S3,clim_temperature_avg,13-16,°C
jeruk,Citrus aurantium,N,clim_temperature_avg,>39,°C
jeruk,Citrus aurantium,N,clim_temperature_avg,13<,°C
jeruk,Citrus aurantium,S1,soil_base_saturation,>20,%
jeruk,Citrus aurantium,S2,soil_base_saturation,20<,%
jeruk,Citrus aurantium,S1,soil_cec,>16,cmol
jeruk,Citrus aurantium,S2,soil_cec,5-16,cmol
jeruk,Citrus aurantium,S3,soil_cec,5<,cmol
jeruk,Citrus aurantium,S1,soil_coarse_fragments,15<,%
jeruk,Citrus aurantium,S2,soil_coarse_fragments,15-35,%
jeruk,Citrus aurantium,S3,soil_coarse_fragments,35-55,%
jeruk,Citrus aurantium,N,soil_coarse_fragments,>55,%
jeruk,Citrus aurantium,S1,soil_depth,>100,cm
jeruk,Citrus aurantium,S2,soil_depth,75-100,cm
jeruk,Citrus aurantium,S3,soil_depth,50-75,cm
jeruk,Citrus aurantium,N,soil_depth,50<,cm
jeruk,Citrus aurantium,S1,soil_drainage,baik;sedang,unitless
jeruk,Citrus aurantium,S2,soil_drainage,agakterhambat,unitless
jeruk,Citrus aurantium,S3,soil_drainage,terhambat;agakcepat,unitless
jeruk,Citrus aurantium,N,soil_drainage,sangatterhambat;cepat,unitless
jeruk,Citrus aurantium,S1,soil_erosion_risk,0.15<,unitless
jeruk,Citrus aurantium,S2,soil_erosion_risk,0.15-0.9,unitless
jeruk,Citrus aurantium,S2,soil_erosion_risk,0.9-1.8,unitless
jeruk,Citrus aurantium,S3,soil_erosion_risk,1.8-4.8,unitless
jeruk,Citrus aurantium,N,soil_erosion_risk,>4.8,unitless
jeruk,Citrus aurantium,S1,soil_esp,8<,%
jeruk,Citrus aurantium,S2,soil_esp,8-12,%
jeruk,Citrus aurantium,S3,soil_esp,12-15,%
jeruk,Citrus aurantium,N,soil_esp,>15,%
jeruk,Citrus aurantium,N,soil_flood_height,25,cm
jeruk,Citrus aurantium,N,soil_flood_length,7<,hari
jeruk,Citrus aurantium,S1,soil_k2o,>20,mg/100 g
jeruk,Citrus aurantium,S2,soil_k2o,20-Oct,mg/100 g
jeruk,Citrus aurantium,S3,soil_k2o,10<,mg/100 g
jeruk,Citrus aurantium,S1,soil_nitrogen,>0.2,%
jeruk,Citrus aurantium,S2,soil_nitrogen,0.10-0.20,%
jeruk,Citrus aurantium,S3,soil_nitrogen,0.10<,%
jeruk,Citrus aurantium,S1,soil_organic_c,>1.2,%
jeruk,Citrus aurantium,S2,soil_organic_c,0.8-1.2,%
jeruk,Citrus aurantium,S3,soil_organic_c,0.8<,%
jeruk,Citrus aurantium,S1,soil_outcrop,5<,%
jeruk,Citrus aurantium,S2,soil_outcrop,5-15,%
jeruk,Citrus aurantium,S3,soil_outcrop,15-25,%
jeruk,Citrus aurantium,N,soil_outcrop,>25,%
jeruk,Citrus aurantium,S1,soil_p2o5,>40,mg/100 g
jeruk,Citrus aurantium,S2,soil_p2o5,21-40,mg/100 g
jeruk,Citrus aurantium,S3,soil_p2o5,15-20,mg/100 g
jeruk,Citrus aurantium,S3,soil_p2o5,15<,mg/100 g
jeruk,Citrus aurantium,S1,soil_peat_depth,50<,cm
jeruk,Citrus aurantium,S2,soil_peat_depth,50-100,cm
jeruk,Citrus aurantium,S3,soil_peat_depth,100-200,cm
jeruk,Citrus aurantium,N,soil_peat_depth,>200,cm
jeruk,Citrus aurantium,S1,soil_peat_maturity,saprik,unitless
jeruk,Citrus aurantium,S2,soil_peat_maturity,saprik;hemik,unitless
jeruk,Citrus aurantium,S3,soil_peat_maturity,hemik,unitless
jeruk,Citrus aurantium,N,soil_peat_maturity,fibrik,unitless
jeruk,Citrus aurantium,S1,soil_ph,5.5-7.6,unitless
jeruk,Citrus aurantium,S2,soil_ph,5.2-5.5,unitless
jeruk,Citrus aurantium,S2,soil_ph,7.6-8.0,unitless
jeruk,Citrus aurantium,S3,soil_ph,5.2<,unitless
jeruk,Citrus aurantium,S3,soil_ph,>8.0,unitless
jeruk,Citrus aurantium,S1,soil_salinity,3<,dS/m
jeruk,Citrus aurantium,S2,soil_salinity,3-4,dS/m
jeruk,Citrus aurantium,S3,soil_salinity,4-6,dS/m
jeruk,Citrus aurantium,N,soil_salinity,>6,dS/m
jeruk,Citrus aurantium,S1,soil_slope,8<,%
jeruk,Citrus aurantium,S2,soil_slope,8-15,%
jeruk,Citrus aurantium,S3,soil_slope,15-30,%
jeruk,Citrus aurantium,N,soil_slope,>30,%
jeruk,Citrus aurantium,S1,soil_sulfidic_depth,>125,cm
jeruk,Citrus aurantium,S2,soil_sulfidic_depth,100-125,cm
jeruk,Citrus aurantium,S3,soil_sulfidic_depth,60-100,cm
jeruk,Citrus aurantium,N,soil_sulfidic_depth,60<,cm
jeruk,Citrus aurantium,S1,soil_surface_rocks,5<,%
jeruk,Citrus aurantium,S2,soil_surface_rocks,5-15,%
jeruk,Citrus aurantium,S3,soil_surface_rocks,15-40,%
jeruk,Citrus aurantium,N,soil_surface_rocks,>40,%
jeruk,Citrus aurantium,S1,soil_texture,s_ah,unitless
jeruk,Citrus aurantium,S2,soil_texture,ak_h,unitless
jeruk,Citrus aurantium,S3,soil_texture,sh,unitless
jeruk,Citrus aurantium,N,soil_texture,k,unitless
