name_common,name_sp,class,name_parameter,value,unit
kopi arabika,Coffea arabica,S1,clim_dry_months,1-4,bulan
kopi arabika,Coffea arabica,S2,clim_dry_months,1<,bulan
kopi arabika,Coffea arabica,S2,clim_dry_months,4-5,bulan
kopi arabika,Coffea arabica,S3,clim_dry_months,5-6,bulan
kopi arabika,Coffea arabica,N,clim_dry_months,>6,bulan
kopi arabika,Coffea arabica,S1,clim_humidity,40-70,%
kopi arabika,Coffea arabica,S2,clim_humidity,30-40,%
kopi arabika,Coffea arabica,S2,clim_humidity,70-80,%
kopi arabika,Coffea arabica,S3,clim_humidity,20-30,%
kopi arabika,Coffea arabica,S3,clim_humidity,80-90,%
kopi arabika,Coffea arabica,N,clim_humidity,20<,%
kopi arabika,Coffea arabica,N,clim_humidity,>90,%
kopi arabika,Coffea arabica,S1,clim_precipitation_tot,1200-1800,mm
kopi arabika,Coffea arabica,S2,clim_precipitation_tot,1000-1200,mm
kopi arabika,Coffea arabica,S2,clim_precipitation_tot,1800-2000,mm
kopi arabika,Coffea arabica,S3,clim_precipitation_tot,2000-3000,mm
kopi arabika,Coffea arabica,S3,clim_precipitation_tot,800-1000,mm
kopi arabika,Coffea arabica,N,clim_precipitation_tot,>3000,mm
kopi arabika,Coffea arabica,N,clim_precipitation_tot,800<,mm
kopi arabika,Coffea arabica,S1,clim_temperature_avg,16-20,°C
kopi arabika,Coffea arabica,S2,clim_temperature_avg,15-16,°C
kopi arabika,Coffea arabica,S2,clim_temperature_avg,20-22,°C
kopi arabika,Coffea arabica,S3,clim_temperature_avg,14-15,°C
kopi arabika,Coffea arabica,S3,clim_temperature_avg,22-24,°C
kopi arabika,Coffea arabica,N,clim_temperature_avg,14<,°C
kopi arabika,Coffea arabica,N,clim_temperature_avg,>24,°C
kopi arabika,Coffea arabica,S1,soil_base_saturation,>50,%
kopi arabika,Coffea arabica,S2,soil_base_saturation,35-50,%
kopi arabika,Coffea arabica,S3,soil_base_saturation,35<,%
kopi arabika,Coffea arabica,S1,soil_cec,>16,cmol
kopi arabika,Coffea arabica,S2,soil_cec,5-16,cmol
kopi arabika,Coffea arabica,S3,soil_cec,5<,cmol
kopi arabika,Coffea arabica,S1,soil_coarse_fragments,15<,%
kopi arabika,Coffea arabica,S2,soil_coarse_fragments,15-35,%
kopi arabika,Coffea arabica,S3,soil_coarse_fragments,35-60,%
kopi arabika,Coffea arabica,N,soil_coarse_fragments,>60,%
kopi arabika,Coffea arabica,S1,soil_depth,>100,cm
kopi arabika,Coffea arabica,S2,soil_depth,75-100,cm
kopi arabika,Coffea arabica,S3,soil_depth,50-75,cm
kopi arabika,Coffea arabica,N,soil_depth,50<,cm
kopi arabika,Coffea arabica,S1,soil_drainage,baik,unitless
kopi arabika,Coffea arabica,S2,soil_drainage,sedang,unitless
kopi arabika,Coffea arabica,S3,soil_drainage,agakterhambat;agakcepat,unitless
kopi arabika,Coffea arabica,N,soil_drainage,terhambat;sangatterhambat;cepat,unitless
kopi arabika,Coffea arabica,S1,soil_elevation,1000-1500,m
kopi arabika,Coffea arabica,S2,soil_elevation,1500-1700,m
kopi arabika,Coffea arabica,S2,soil_elevation,700-1000,m
kopi arabika,Coffea arabica,S3,soil_elevation,1700-2000,m
kopi arabika,Coffea arabica,S3,soil_elevation,500-700,m
kopi arabika,Coffea arabica,N,soil_elevation,>2000,m
kopi arabika,Coffea arabica,N,soil_elevation,500<,m
kopi arabika,Coffea arabica,S1,soil_erosion_risk,0.15<,unitless
kopi arabika,Coffea arabica,S2,soil_erosion_risk,0.15-0.9,unitless
kopi arabika,Coffea arabica,S2,soil_erosion_risk,0.9-1.8,unitless
kopi arabika,Coffea arabica,S3,soil_erosion_risk,1.8-4.8,unitless
kopi arabika,Coffea arabica,N,soil_erosion_risk,>4.8,unitless
kopi arabika,Coffea arabica,N,soil_flood_height,25,cm
kopi arabika,Coffea arabica,N,soil_flood_length,7<,hari
kopi arabika,Coffea arabica,S1,soil_k2o,>20,mg/100 g
kopi arabika,Coffea arabica,S2,soil_k2o,10-20,mg/100 g
kopi arabika,Coffea arabica,S3,soil_k2o,10<,mg/100 g
kopi arabika,Coffea arabica,S1,soil_nitrogen,>0.2,%
kopi arabika,Coffea arabica,S2,soil_nitrogen,0.10-0.20,%
kopi arabika,Coffea arabica,S3,soil_nitrogen,0.10<,%
kopi arabika,Coffea arabica,S1,soil_organic_c,>2.0,%
kopi arabika,Coffea arabica,S2,soil_organic_c,0.8-2.0,%
kopi arabika,Coffea arabica,S3,soil_organic_c,0.8<,%
kopi arabika,Coffea arabica,S1,soil_outcrop,5<,%
kopi arabika,Coffea arabica,S2,soil_outcrop,5-15,%
kopi arabika,Coffea arabica,S3,soil_outcrop,15-25,%
kopi arabika,Coffea arabica,N,soil_outcrop,>25,%
kopi arabika,Coffea arabica,S1,soil_p2o5,>40,mg/100 g
kopi arabika,Coffea arabica,S2,soil_p2o5,21-40,mg/100 g
kopi arabika,Coffea arabica,S3,soil_p2o5,15-20,mg/100 g
kopi arabika,Coffea arabica,S3,soil_p2o5,15<,mg/100 g
kopi arabika,Coffea arabica,S1,soil_peat_depth,100<,cm
kopi arabika,Coffea arabica,S2,soil_peat_depth,100-200,cm
kopi arabika,Coffea arabica,S3,soil_peat_depth,200-300,cm
kopi arabika,Coffea arabica,N,soil_peat_depth,>300,cm
kopi arabika,Coffea arabica,S1,soil_peat_maturity,saprik,unitless
kopi arabika,Coffea arabica,S2,soil_peat_maturity,saprik;hemik,unitless
kopi arabika,Coffea arabica,S3,soil_peat_maturity,hemik,unitless
kopi arabika,Coffea arabica,N,soil_peat_maturity,fibrik,unitless
kopi arabika,Coffea arabica,S1,soil_ph,5.6-6.6,unitless
kopi arabika,Coffea arabica,S2,soil_ph,6.6-7.3,unitless
kopi arabika,Coffea arabica,S3,soil_ph,5.5<,unitless
kopi arabika,Coffea arabica,S3,soil_ph,>7.4,unitless
kopi arabika,Coffea arabica,S1,soil_salinity,0.5<,dS/m
kopi arabika,Coffea arabica,S3,soil_salinity,0.5-2,dS/m
kopi arabika,Coffea arabica,N,soil_salinity,>2,dS/m
kopi arabika,Coffea arabica,S1,soil_slope,8<,%
kopi arabika,Coffea arabica,S2,soil_slope,8-15,%
kopi arabika,Coffea arabica,S3,soil_slope,15-30,%
kopi arabika,Coffea arabica,N,soil_slope,>30,%
kopi arabika,Coffea arabica,S1,soil_surface_rocks,5<,%
kopi arabika,Coffea arabica,S2,soil_surface_rocks,5-15,%
kopi arabika,Coffea arabica,S3,soil_surface_rocks,15-40,%
kopi arabika,Coffea arabica,N,soil_surface_rocks,>40,%
kopi arabika,Coffea arabica,S1,soil_texture,h_ah_s,unitless
kopi arabika,Coffea arabica,S3,soil_texture,ak,unitless
kopi arabika,Coffea arabica,N,soil_texture,k_sh,unitless
