name_common,name_sp,class,name_parameter,value,unit
petai,Parkia speciosa HASSK,S1,clim_humidity,>42,%
petai,Parkia speciosa HASSK,S2,clim_humidity,36-42,%
petai,Parkia speciosa HASSK,S3,clim_humidity,30-36,%
petai,Parkia speciosa HASSK,N,clim_humidity,30<,%
petai,Parkia speciosa HASSK,S1,clim_precipitation_tot,1000-2000,mm
petai,Parkia speciosa HASSK,S2,clim_precipitation_tot,500-1000,mm
petai,Parkia speciosa HASSK,S2,clim_precipitation_tot,2000-3000,mm
petai,Parkia speciosa HASSK,S3,clim_precipitation_tot,250-500,mm
petai,Parkia speciosa HASSK,S3,clim_precipitation_tot,3000-4000,mm
petai,Parkia speciosa HASSK,N,clim_precipitation_tot,250<,mm
petai,Parkia speciosa HASSK,N,clim_precipitation_tot,>4000,mm
petai,Parkia speciosa HASSK,S1,clim_temperature_avg,18-25,°C
petai,Parkia speciosa HASSK,S2,clim_temperature_avg,25-30,°C
petai,Parkia speciosa HASSK,S2,clim_temperature_avg,15-18,°C
petai,Parkia speciosa HASSK,S3,clim_temperature_avg,30-35,°C
petai,Parkia speciosa HASSK,S3,clim_temperature_avg,10-15,°C
petai,Parkia speciosa HASSK,N,clim_temperature_avg,>35,°C
petai,Parkia speciosa HASSK,N,clim_temperature_avg,10<,°C
petai,Parkia speciosa HASSK,S1,soil_base_saturation,>35,%
petai,Parkia speciosa HASSK,S2,soil_base_saturation,20-35,%
petai,Parkia speciosa HASSK,S3,soil_base_saturation,20<,%
petai,Parkia speciosa HASSK,S1,soil_cec,>16,cmol
petai,Parkia speciosa HASSK,S2,soil_cec,5-16,cmol
petai,Parkia speciosa HASSK,S3,soil_cec,5<,cmol
petai,Parkia speciosa HASSK,S1,soil_coarse_fragments,15<,%
petai,Parkia speciosa HASSK,S2,soil_coarse_fragments,15-35,%
petai,Parkia speciosa HASSK,S3,soil_coarse_fragments,35-55,%
petai,Parkia speciosa HASSK,N,soil_coarse_fragments,>55,%
petai,Parkia speciosa HASSK,S1,soil_depth,>100,cm
petai,Parkia speciosa HASSK,S2,soil_depth,75-100,cm
petai,Parkia speciosa HASSK,S3,soil_depth,50-75,cm
petai,Parkia speciosa HASSK,N,soil_depth,50<,cm
petai,Parkia speciosa HASSK,S1,soil_drainage,baik;sedang,unitless
petai,Parkia speciosa HASSK,S2,soil_drainage,agakterhambat,unitless
petai,Parkia speciosa HASSK,S3,soil_drainage,terhambat;agakcepat,unitless
petai,Parkia speciosa HASSK,N,soil_drainage,sangatterhambat;cepat,unitless
petai,Parkia speciosa HASSK,S1,soil_erosion_risk,0.15<,unitless
petai,Parkia speciosa HASSK,S2,soil_erosion_risk,0.15-0.9,unitless
petai,Parkia speciosa HASSK,S2,soil_erosion_risk,0.9-1.8,unitless
petai,Parkia speciosa HASSK,S3,soil_erosion_risk,1.8-4.8,unitless
petai,Parkia speciosa HASSK,N,soil_erosion_risk,>4.8,unitless
petai,Parkia speciosa HASSK,S1,soil_esp,15<,%
petai,Parkia speciosa HASSK,S2,soil_esp,15-20,%
petai,Parkia speciosa HASSK,S3,soil_esp,20-25,%
petai,Parkia speciosa HASSK,N,soil_esp,>25,%
petai,Parkia speciosa HASSK,N,soil_flood_height,25,cm
petai,Parkia speciosa HASSK,N,soil_flood_length,7<,hari
petai,Parkia speciosa HASSK,S1,soil_k2o,>20,mg/100 g
petai,Parkia speciosa HASSK,S2,soil_k2o,10-20,mg/100 g
petai,Parkia speciosa HASSK,S3,soil_k2o,10<,mg/100 g
petai,Parkia speciosa HASSK,S1,soil_nitrogen,>0.2,%
petai,Parkia speciosa HASSK,S2,soil_nitrogen,0.10-0.20,%
petai,Parkia speciosa HASSK,S3,soil_nitrogen,0.10<,%
petai,Parkia speciosa HASSK,S1,soil_organic_c,>1.2,%
petai,Parkia speciosa HASSK,S2,soil_organic_c,0.8-1.2,%
petai,Parkia speciosa HASSK,S3,soil_organic_c,0.8<,%
petai,Parkia speciosa HASSK,S1,soil_outcrop,5<,%
petai,Parkia speciosa HASSK,S2,soil_outcrop,5-15,%
petai,Parkia speciosa HASSK,S3,soil_outcrop,15-25,%
petai,Parkia speciosa HASSK,N,soil_outcrop,>25,%
petai,Parkia speciosa HASSK,S1,soil_p2o5,>20,mg/100 g
petai,Parkia speciosa HASSK,S2,soil_p2o5,15-20,mg/100 g
petai,Parkia speciosa HASSK,S3,soil_p2o5,15<,mg/100 g
petai,Parkia speciosa HASSK,S1,soil_peat_depth,50<,cm
petai,Parkia speciosa HASSK,S2,soil_peat_depth,50-100,cm
petai,Parkia speciosa HASSK,S3,soil_peat_depth,100-200,cm
petai,Parkia speciosa HASSK,N,soil_peat_depth,>200,cm
petai,Parkia speciosa HASSK,S1,soil_peat_maturity,saprik,unitless
petai,Parkia speciosa HASSK,S2,soil_peat_maturity,saprik;hemik,unitless
petai,Parkia speciosa HASSK,S3,soil_peat_maturity,hemik,unitless
petai,Parkia speciosa HASSK,N,soil_peat_maturity,fibrik,unitless
petai,Parkia speciosa HASSK,S1,soil_ph,5.5-7.8,unitless
petai,Parkia speciosa HASSK,S2,soil_ph,5.0-5.5,unitless
petai,Parkia speciosa HASSK,S2,soil_ph,7.8-8.0,unitless
petai,Parkia speciosa HASSK,S3,soil_ph,5.0<,unitless
petai,Parkia speciosa HASSK,S3,soil_ph,>8.0,unitless
petai,Parkia speciosa HASSK,S1,soil_salinity,4<,dS/m
petai,Parkia speciosa HASSK,S2,soil_salinity,4-6,dS/m
petai,Parkia speciosa HASSK,S3,soil_salinity,6-8,dS/m
petai,Parkia speciosa HASSK,N,soil_salinity,>8,dS/m
petai,Parkia speciosa HASSK,S1,soil_slope,8<,%
petai,Parkia speciosa HASSK,S2,soil_slope,8-15,%
petai,Parkia speciosa HASSK,S3,soil_slope,15-40,%
petai,Parkia speciosa HASSK,N,soil_slope,>40,%
petai,Parkia speciosa HASSK,S1,soil_sulfidic_depth,>175,cm
petai,Parkia speciosa HASSK,S2,soil_sulfidic_depth,125-175,cm
petai,Parkia speciosa HASSK,S3,soil_sulfidic_depth,75-125,cm
petai,Parkia speciosa HASSK,N,soil_sulfidic_depth,75<,cm
petai,Parkia speciosa HASSK,S1,soil_surface_rocks,5<,%
petai,Parkia speciosa HASSK,S2,soil_surface_rocks,5-15,%
petai,Parkia speciosa HASSK,S3,soil_surface_rocks,15-40,%
petai,Parkia speciosa HASSK,N,soil_surface_rocks,>40,%
petai,Parkia speciosa HASSK,S1,soil_texture,h_ah,unitless
petai,Parkia speciosa HASSK,S2,soil_texture,s,unitless
petai,Parkia speciosa HASSK,S3,soil_texture,ak,unitless
petai,Parkia speciosa HASSK,N,soil_texture,k,unitless
